people_ID,Infect_Prob
5942,48.74187
18664,48.744587
5603,48.547157
5649,49.39466
5099,49.071285
18749,48.724636
5228,48.91372
5559,48.733166
5220,48.742405
5476,48.61874
5260,48.46729
17638,48.72725
18635,48.776756
18794,54.750156
5263,48.849567
17680,61.688488
18030,48.68619
18090,48.58794
18455,48.65058
18155,48.6682
18116,55.74491
18144,48.872967
5218,54.669563
5386,48.70455
18105,66.53321
5735,48.67572
5900,48.61556
18391,50.135284
5786,48.67335
18639,49.007805
17984,48.66696
18274,51.640152
5425,48.746502
6076,49.61388
18545,48.61955
17697,61.572647
6137,48.452732
6083,48.970146
17730,48.731007
5896,63.476933
18906,48.431778
17808,49.675858
6078,51.130276
5516,48.803654
18093,48.511353
6120,48.628315
18154,51.81973
17935,49.26313
18769,69.13701
18264,48.82798
18076,48.137714
18035,48.636353
18051,48.39548
18676,48.55975
5332,48.991703
5898,62.996143
18370,48.63771
17706,49.030907
5198,49.17821
18360,50.994335
18240,48.74968
18691,48.925934
5768,48.726845
18315,48.394577
18776,48.551716
6225,48.952736
17983,62.22424
17973,49.05415
5805,52.614708
5500,50.19446
5305,48.769196
18243,48.61772
5169,48.79465
5258,48.7459
17810,64.70748
5714,48.54607
6070,49.306633
5959,59.381664
18771,48.645496
17765,48.76895
18822,52.034843
17735,54.933064
17966,49.146187
18861,48.87312
18236,48.912434
18750,74.45672
17809,66.28337
6049,49.19029
18465,48.891582
6201,48.591366
18877,50.716537
5087,48.3821
17742,48.640194
17941,62.244392
18421,48.833607
18489,48.74114
6299,67.53921
18428,52.56375
5563,66.7529
18796,61.091507
5849,48.730587
5661,50.14944
5893,48.6851
5378,63.027657
5622,48.751022
5823,48.361618
18521,48.647766
5502,48.53256
18785,48.545395
17783,48.721054
18424,58.206547
18147,48.715794
18881,66.53936
18851,48.407726
17686,48.784786
5100,48.87901
5213,48.685776
18252,49.175774
5576,48.50942
18050,48.74031
5875,48.66338
6059,48.42132
18599,49.168648
5173,48.490353
5461,48.67196
5151,69.05374
5266,48.761974
5514,56.07694
5224,48.739216
18069,48.20675
5587,48.740887
17874,51.541805
5536,49.24411
5215,49.12893
5400,66.82722
17857,48.49451
6043,54.283722
18330,48.443314
18333,48.630177
17788,48.53703
18332,70.26511
17836,48.568108
5247,49.217396
5922,48.457718
18641,67.70921
5951,69.52221
18807,48.692978
18293,63.72881
18775,48.7244
5601,48.447315
5102,49.146587
18464,48.584015
17713,48.630707
18557,50.766926
18854,48.6633
18401,50.857075
18699,64.87945
5706,67.30147
5747,48.915054
5496,48.923916
18308,48.76295
5345,61.416935
18525,49.4202
18258,66.82348
6062,51.326973
17921,48.74862
5303,48.803646
18592,48.985584
5814,49.145523
18805,49.04772
5910,48.766552
5201,48.5446
5724,74.43909
17693,48.52602
5407,50.637863
18617,48.603123
